labels,text
"['right', 'desires']","Any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy. "
"['adverse', 'quantities']","High quantities of soy, grain, starch, or any food common for vegetarians can have adverse health effects."
"['connection', 'traditional', 'family', 'undermine', 'food']","We should not adopt vegetarianism because it would undermine the traditional food culture, and food is an important part of people's connection to their family and community."
"['kills', 'underground', 'tilling']","In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives"
"['immune', 'central', 'nervous', 'system', 'provides', 'saturated']",Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning. 
"['fertilizer', 'keeping', 'tool', 'maintain']","Animal waste is an important tool for creating natural fertilizer and keeping land arable, which would be difficult to maintain under enforced vegetarianism."
"['massively', 'negative', 'sector', 'shift', 'impact', 'large']","A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy. "
"['enjoying', 'move', 'alot', 'culture', 'big']",Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.
"['staple', 'side', 'estrogen']","Soy, a major staple of the vegetarian diet due to being protein-rich, has many bad side effects like increasing estrogen levels and being high in glyphosate. "
"['tastes', 'believe', 'decide', 'want', 'able', 'vegetables']",Many people believe meat tastes better than vegetables and they should be able to decide what they would want to eat and should not be forced to be vegetarian.
"['uncomfortable', 'actively', 'cultural', 'social']","Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign. "
"['harvest', 'devastated', 'evolved', 'local', 'fishing', 'forced']",Cultures that evolved through fishing and local harvest would be devastated if they could not consume meat and were forced to be vegetarians.
"['immune', 'central', 'nervous', 'system', 'provides', 'saturated']",Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning. 
"['raised', 'deforestation', 'harvesting', 'considerable', 'takes', 'lead']",Harvesting plants for vegetarianism takes a considerable amount of land and would likely lead to deforestation if animals could not be raised
"['adverse', 'quantities']","High quantities of soy, grain, starch, or any food common for vegetarians can have adverse health effects."
"['immune', 'central', 'nervous', 'system', 'provides', 'saturated']",Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning. 
"['thousands', 'provides', 'fish', 'hundreds', 'away', 'take']",The meat and fish production industry provides a living to hundreds of thousands of people worldwide. Vegetarianism will take away they means of livelihood. 
"['right', 'desires']","Any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy. "
"['intrinsic', 'intangible', 'moving', 'loss', 'national']","Meat-based dishes are an intrinsic part of ethnic, national and human culture, and moving on from that is a loss of intangible cultural value."
"['refusing', 'anything', 'party', 'third', 'includes', 'ability']","Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism."
"['black', 'drug']","A black market created by enforced vegetarianism would make it easier for more dangerous black markets, such as the drug and weapons markets, to find social acceptance and hide among less heinous markets."
"['nutritionally', 'easier', 'balanced', 'products', 'part', 'diet']",Eating a nutritionally balanced diet is easier if animal products are part of it
"['voices', 'prefer']","By adopting vegetarianism as a society, we are necessarily silencing voices that would prefer eating meat. of course, we are allowing other voices to be heard, but hurt the fundamental right of choice for others."
"['style', 'live', 'without', 'life', 'possiable']",Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat. 
"['slaughtered', 'ship', 'worse']","Animals are easier to ship around the world, as they do not need to be slaughtered until they are received, leading to less spoilage, making vegetarianism worse for food preservation."
"['access', 'pleasure', 'hurt', 'poor', 'around', 'means']","Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure"
"['access', 'pleasure', 'hurt', 'poor', 'around', 'means']","Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure"
"['kills', 'underground', 'tilling']","In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives"
"['voices', 'prefer']","By adopting vegetarianism as a society, we are necessarily silencing voices that would prefer eating meat. of course, we are allowing other voices to be heard, but hurt the fundamental right of choice for others."
"['lacks', 'trusted', 'critical', 'vitamins', 'supplements']","Vegetarianism is not healthy for human beings, as it lacks critical vitamins such as B12. People cannot be trusted to take such supplements instead of meat. "
"['raised', 'deforestation', 'harvesting', 'considerable', 'takes', 'lead']",Harvesting plants for vegetarianism takes a considerable amount of land and would likely lead to deforestation if animals could not be raised
"['protein', 'securing', 'difficulty']","Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor."
"['law', 'faith']","Attempting to make vegetarianism law would create a criminal society where huge swaths of the population would refuse to follow the law, weakening faith in law and the power of government."
"['shut', 'serve', 'restaurants', 'majority', 'forced']",A majority of restaurants would shut down if they were forced to only serve vegetarian food.
"['impossible', 'ability', 'decide', 'fundamental', 'individuals', 'enforced']","Individuals should have the ability to decide what they consume which is impossible through enforced vegetarianism, as it is fundamental to the way they live their lives."
