topic,count
Assisted suicide should be a criminal offence,396
Blockade of the Gaza Strip should be ended,521
Entrapment should be legalized,406
Foster care brings more harm than good,538
Holocaust denial should be a criminal offence,466
Homeopathy brings more harm than good,358
Homeschooling should be banned,395
Intelligence tests bring more harm than good,472
Payday loans should be banned,446
Social media brings more harm than good,331
Surrogacy should be banned,435
The use of public defenders should be mandatory,427
The vow of celibacy should be abandoned,432
We should abandon marriage,421
We should abandon television,389
We should abandon the use of school uniform,480
We should abolish capital punishment,470
We should abolish intellectual property rights,432
We should abolish safe spaces,404
We should abolish the Olympic Games,410
We should abolish the right to keep and bear arms,415
We should abolish the three-strikes laws,499
We should abolish zoos,395
We should adopt a multi-party system,402
We should adopt a zero-tolerance policy in schools,459
We should adopt an austerity regime,424
We should adopt atheism,379
We should adopt gender-neutral language,386
We should adopt libertarianism,400
We should ban algorithmic trading,390
We should ban cosmetic surgery,430
We should ban cosmetic surgery for minors,502
We should ban factory farming,414
We should ban fast food,422
We should ban human cloning,423
We should ban missionary work,438
We should ban naturopathy,540
We should ban private military companies,397
We should ban targeted killing,414
We should ban telemarketing,438
We should ban the Church of Scientology,407
We should ban the use of child actors,436
We should ban whaling,428
We should cancel pride parades,399
We should close Guantanamo Bay detention camp,447
We should end affirmative action,456
We should end mandatory retirement,484
We should end racial profiling,418
We should end the use of economic sanctions,400
We should fight for the abolition of nuclear weapons,554
We should fight urbanization,405
We should introduce compulsory voting,406
We should legalize cannabis,548
We should legalize organ trade,413
We should legalize polygamy,500
We should legalize prostitution,504
We should legalize sex selection,405
We should limit executive compensation,381
We should limit judicial activism,402
We should oppose collectivism,454
We should prohibit flag burning,428
We should prohibit school prayer,427
We should prohibit women in combat,375
We should stop the development of autonomous cars,446
We should subsidize Wikipedia,400
We should subsidize embryonic stem cell research,400
We should subsidize journalism,368
We should subsidize space exploration,388
We should subsidize stay-at-home dads,405
We should subsidize student loans,386
We should subsidize vocational education,431
