topic,Hyper Topic
Assisted suicide should be a criminal offence,Assisted suicide
Blockade of the Gaza Strip should be ended,Gaza Strip
Entrapment should be legalized,Entrapment
Foster care brings more harm than good,Foster care
Holocaust denial should be a criminal offence,Holocaust denial
Homeopathy brings more harm than good,Homeopathy
Homeschooling should be banned,Homeschooling
Intelligence tests bring more harm than good,Intelligence tests
Payday loans should be banned,Payday loans
Social media brings more harm than good,Social media
Surrogacy should be banned,Surrogacy
The use of public defenders should be mandatory,public defenders
The vow of celibacy should be abandoned,vow of celibacy
We should abandon marriage,marriage
We should abandon television,television
We should abandon the use of school uniform,school uniform
We should abolish capital punishment,capital punishment
We should abolish intellectual property rights,intellectual property rights
We should abolish safe spaces,safe spaces
We should abolish the Olympic Games,Olympic Games
We should abolish the right to keep and bear arms,right to keep and bear arms
We should abolish the three-strikes laws,three-strikes laws
We should abolish zoos,zoos
We should adopt a multi-party system,multi-party system
We should adopt a zero-tolerance policy in schools,zero-tolerance policy in schools
We should adopt an austerity regime,austerity regime
We should adopt atheism,atheism
We should adopt gender-neutral language,gender-neutral language
We should adopt libertarianism,libertarianism
We should ban algorithmic trading,algorithmic trading
We should ban cosmetic surgery,cosmetic surgery
We should ban cosmetic surgery for minors,cosmetic surgery for minors
We should ban factory farming,factory farming
We should ban fast food,fast food
We should ban human cloning,human cloning
We should ban missionary work,We should ban missionary work
We should ban naturopathy,We should ban naturopathy
We should ban private military companies,We should ban private military companies
We should ban targeted killing,We should ban targeted killing
We should ban telemarketing,We should ban telemarketing
We should ban the Church of Scientology,We should ban the Church of Scientology
We should ban the use of child actors,We should ban the use of child actors
We should ban whaling,We should ban whaling
We should cancel pride parades,We should cancel pride parades
We should close Guantanamo Bay detention camp,We should close Guantanamo Bay detention camp
We should end affirmative action,We should end affirmative action
We should end mandatory retirement,We should end mandatory retirement
We should end racial profiling,We should end racial profiling
We should end the use of economic sanctions,We should end the use of economic sanctions
We should fight for the abolition of nuclear weapons,We should fight for the abolition of nuclear weapons
We should fight urbanization,We should fight urbanization
We should introduce compulsory voting,We should introduce compulsory voting
We should legalize cannabis,We should legalize cannabis
We should legalize organ trade,We should legalize organ trade
We should legalize polygamy,We should legalize polygamy
We should legalize prostitution,We should legalize prostitution
We should legalize sex selection,We should legalize sex selection
We should limit executive compensation,We should limit executive compensation
We should limit judicial activism,We should limit judicial activism
We should oppose collectivism,We should oppose collectivism
We should prohibit flag burning,We should prohibit flag burning
We should prohibit school prayer,We should prohibit school prayer
We should prohibit women in combat,We should prohibit women in combat
We should stop the development of autonomous cars,We should stop the development of autonomous cars
We should subsidize Wikipedia,We should subsidize Wikipedia
We should subsidize embryonic stem cell research,We should subsidize embryonic stem cell research
We should subsidize journalism,We should subsidize journalism
We should subsidize space exploration,We should subsidize space exploration
We should subsidize stay-at-home dads,We should subsidize stay-at-home dads
We should subsidize student loans,We should subsidize student loans
We should subsidize vocational education,We should subsidize vocational education
